year,mean_precip_jan,mean_tmin_c_feb,almond_yield_pct
1989,2.798,8.640416666642857,-0.3552236735963613
1990,55.812,8.681269841285713,9.290675679717515
1991,135.337,10.391468253678571,68.91306330554565
1992,69.64,11.908524904275861,15.42806976561537
1993,77.90299999999999,10.939464285678572,20.208380251669688
1994,34.804,9.623710317392858,2.4820008527828756
1995,676.512,12.586269841642858,1919.9811511043524
1996,40.252,12.040459769793104,3.581839881900276
1997,285.296,9.988571428571428,329.6938750051265
1998,89.762,11.484642857142857,27.863695627184693
1999,0,8.10369047617857,-0.14363643407773202
2000,57.318,11.61473180062069,9.599988280109079
2001,201.041,8.822142857178571,159.51195874431696
2002,20.338,7.719107142857143,0.24509141267576529
2003,0,9.312380952392857,-0.25859973369734357
2004,14.478,7.889272030689655,-0.23677221986176622
2005,399.034,10.423869047607143,656.3724121238462
2006,74.93,9.374365079392858,18.632413478857107
2007,77.724,10.04632936507143,20.200739641251047
2008,374.396,9.239174521072089,576.2821943001621
2009,24.892,8.556669047618625,0.7367438276095373
2010,197.612,9.8949626984136,153.76550917943
